People--> 1	Probability--> 1
People--> 2	Probability--> 0.99726
People--> 3	Probability--> 0.991796
People--> 4	Probability--> 0.983644
People--> 5	Probability--> 0.972865
People--> 6	Probability--> 0.959538
People--> 7	Probability--> 0.943764
People--> 8	Probability--> 0.925665
People--> 9	Probability--> 0.905376
People--> 10	Probability--> 0.883052
People--> 11	Probability--> 0.858859
People--> 12	Probability--> 0.832975
People--> 13	Probability--> 0.80559
People--> 14	Probability--> 0.776898
People--> 15	Probability--> 0.747099
People--> 16	Probability--> 0.716396
People--> 17	Probability--> 0.684992
People--> 18	Probability--> 0.653089
People--> 19	Probability--> 0.620881
People--> 20	Probability--> 0.588562
People--> 21	Probability--> 0.556312
People--> 22	Probability--> 0.524305
People--> 23	Probability--> 0.492703
